id,flow_id,flow_name,role,route,screen,state,device,environment,entry_path,preconditions,step_number,branch,action,expected_transition,actual_transition,api_endpoint,api_result,request_id,database_tables,database_result,rls_result,audit_event,sentry_issue,sentry_result,affected_roles,affected_role_result,purpose_clear,primary_action_clear,unnecessary_ui,generic_ai_patterns,copy_direct,native_behavior,football_specific,visual_consistency,accessibility,status,severity,evidence,issue,fix_commit,retest_status,notes
ENV-001,PREFLIGHT-NATIVE,Native runtime preflight,system,,Expo Go project launch,initial launch,iPhone 16 Pro,staging,Expo Go deep link,Metro and managed simulator available,1,happy path,Open exp://127.0.0.1:8081,Clubroom staging bundle loads in native iOS runtime,Clubroom staging bundle loaded and rendered the sign-in screen,,,,,,,,,,all,Native staging entry point available,,,,,,passed,,,,passed,,reviews/ios-native-audit/screenshots/001-native-loaded.png,,,passed,Actual Expo iOS runtime through Expo Go
ENV-002,PREFLIGHT-API,Fastify API preflight,system,/v1/health,API health,healthy,local process,staging,Direct HTTP request,Fastify listening on port 4000,1,happy path,GET /v1/health,HTTP 200 health response,HTTP 200,/v1/health,pass,,,,,,,,all,not applicable,,,,,,,,,,passed,,HTTP status captured in audit session,,,passed,Response body was not persisted because only status is required
ENV-003,PREFLIGHT-SUPABASE-MCP,Supabase MCP preflight,system,,Supabase MCP,connection,local task,staging,MCP tool discovery,Supabase MCP configured in .mcp.json,1,connection,Discover Supabase tools,Authenticated read-only database inspection available,Server configured but tools not exposed in current task,,,,,blocked,blocked,,,,all,pending,,,,,,,,,,blocked,high,,Supabase MCP is configured but unavailable in this task,,blocked,Direct read-only database verification is recorded separately
ENV-004,PREFLIGHT-SENTRY,Sentry preflight,system,,Sentry observability,connection,local task,staging,MCP and bundled read-only API,Sentry configuration and read-only credential available,1,connection,Discover MCP then query bundled Sentry client,Authenticated read-only issue and event inspection available,MCP unavailable; bundled read-only client completed TLS verification then received HTTP 403,,,,,,,,Current Sentry credential lacks project issue-read permission,blocked: HTTP 403 after verified HTTPS connection,all,pending,,,,,,,,,,blocked,medium,,Staging Sentry issues cannot be queried with the current token scope,,blocked,No Sentry state changed; supply a project issue-read credential and retest
ENV-005,PREFLIGHT-DB-DIRECT,Staging database and RLS preflight,system,,Postgres catalog,read only,local task,staging,Existing Prisma client,Staging database connection configured,1,read only,Inspect public tables RLS flags and grants,Database reachable with RLS enabled and no anon or authenticated table grants,124 public tables found; 124 have RLS enabled; zero table grants to anon or authenticated,,,,124 public tables,passed,passed,,,,all,No public table grants detected,,,,,,,,,,passed,,Read-only pg_catalog query executed during audit,,,passed,This is a broad preflight and does not replace per-flow policy tests
ENV-006,PREFLIGHT-IOS-CONTROL,Native semantic interaction preflight,system,,iOS accessibility runner,attach,iPhone 16 Pro Max simulator,staging,agent-device session clubroom-ios,Managed simulator and app running,1,connection,Attach semantic interaction runner,Accessibility tree and deterministic controls available,Clubroom was visibly open at native sign-in; semantic runner attach failed because macOS Developer Tools security is disabled,,,,,,,,,,all,Native screenshots available but deterministic interaction blocked,,,,,,,,,blocked,blocked,high,reviews/ios-native-audit/runtime/2026-08-01/edit-child-profile-native-blocked/current-screen.png | reviews/ios-native-audit/runtime/2026-08-01/edit-child-profile-audit-final-2/native-blocker.md,Cannot traverse and assert every native control until DevToolsSecurity is enabled,,blocked,"No sudo or privileged host change was attempted. Enable with sudo DevToolsSecurity -enable, then rerun target-route semantics."
UI-001,AUTH-LOGIN-VISUAL,Native sign-in simplification,all signed-out users,app/login.tsx,LoginScreen,signed out,iPhone 16 Pro,staging,Cold native launch,Clubroom bundle loaded,1,visual and accessibility,Inspect then simplify the sign-in screen,Direct branded sign-in with one clear primary action,Removed slogan badge promotional copy redundant helper text and entrance animation; added native credential and accessibility metadata,,,,,,,,,,all,Cleaner shared authentication entry point,passed,passed,passed after fix,passed after fix,passed,passed,not applicable,passed,static pass; semantic retest blocked,fixed,medium,reviews/ios-native-audit/screenshots/001-native-loaded.png | reviews/ios-native-audit/screenshots/003-login-after.png,Sign-in used oversized generic marketing copy and unnecessary animation before the primary task,fix(auth): simplify native sign-in experience,visual passed; semantic blocked,Typecheck UI action lint file ESLint and React Doctor completed
API-001,API-PROBLEM-DETAIL,Safe API problem display,all API users,services/api-client.ts,Shared ErrorState,API request rejected,responsive browser viewport,staging,Coach opens /club/settings,Backend returns RFC 7807 application/problem+json,1,error,Handle HTTP 403 response,Show a concise human explanation without internal payload data,Client selects the RFC 7807 detail and shared error state no longer renders codes or debug details,shared /v1 error boundary,regression test and runtime retest passed,redacted,,,,,,,all,Internal problem payloads no longer reach shared UI,passed,passed,passed after fix,passed after fix,passed,shared code; native interaction pending,not applicable,passed,static pass,fixed,high,reviews/ios-native-audit/screenshots/004-club-settings-raw-error-before.png | reviews/ios-native-audit/screenshots/005-club-settings-safe-error-after.png,Raw problem JSON request IDs enum codes and dev debug details were exposed in product UI,fix(api): keep problem details out of product UI,unit and browser passed; native pending,The separate forbidden request remains open as AUTHZ-001
FLOW-001,COACH-HOME-USER-LOOKUP,Coach home athlete identity,coach,/,Coach development home,loaded,responsive browser viewport,staging,Seeded coach login,Live coach feedback contains athlete entity IDs and display names,1,load,Open coach dashboard,Build the athlete directory from feedback authority without user-profile lookups,Coach development maps athlete ID and athlete name directly from feedback; dashboard loads with no failed requests,/v1/users/:id,no request after fix,,,,,,,,coach and linked athletes,Coach dashboard loads without invalid identity reads,passed,passed,passed,review needed,passed,shared code; native interaction pending,passed,passed,browser pass; native pending,fixed,medium,reviews/ios-native-audit/browser-flow-initial-findings.md | reviews/ios-native-audit/browser-flow-report.md,An athlete entity ID was sent to the user-profile endpoint,f04d222e fix(coach): use athlete feedback identity,source boundary and browser flow passed; native pending,Fix landed concurrently and was independently traced and retested
FLOW-SUITE-001,CROSS-ROLE-BROWSER-BASELINE,Full seeded cross-role browser regression,coach parent athlete and club admin,71 selected routes,Executable browser flow suite,seeded happy paths,responsive browser viewport,staging,Role-specific direct routes,Staging API healthy and all role preflights passed,4,all selected flows,Open every selected route with fixture and raw-value detection then review every screenshot,Each flow loads without failed requests runtime exceptions invalid nested controls internal fixture copy raw timestamps raw enum labels retired rows or generic task labels,Automated run loaded 71 of 71 and coach-core retest loaded 11 of 11; manual review found separate visual and cross-screen consistency defects,/v1/*,Automated requests passed,,booking roster and participant projections,Active bookings and athlete names now match the visible queue,Direct RLS verified separately,,,,coach parent athlete and club admin,Automated totals were Coach 34 Parent 22 Athlete 13 Club admin 2; manual visual baseline remains open,passed,passed,failed,failed,failed,not native,automated route corpus is football product specific,manual review found inconsistent and clipped product surfaces,automated browser controls passed; native semantic blocked,failed,medium,reviews/ios-native-audit/screenshots/029-completion-athlete-labels-fixed.png,Automated checks pass but the manual 71-screen review found separate defects,,pending,API-003 and UI-009 are fixed; visual findings are being recorded and fixed separately
